threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
3.5,0,0,1,10,3,30,0.3,4707,126.72692307692307,0.1900467388995426,-0.10995326110045738,-0.02302737491900428,0.41937539834289356
3.5,0,0,1,10,3,30,0.5,4707,126.72692307692307,0.1900467388995426,-0.3099532611004574,-0.06491312653480331,0.3705120033991927
3.5,0,0,1,10,3,30,0.7,4707,126.72692307692307,0.1900467388995426,-0.5099532611004574,-0.10679887815060235,0.32929679201189715
3.5,0,0,1,10,6,60,0.3,4411,118.7576923076923,0.2777034686012394,-0.02229653139876065,-0.003915391513551229,0.45613239628202223
3.5,0,0,1,10,6,60,0.5,4411,118.7576923076923,0.2777034686012394,-0.22229653139876063,-0.03903647329552621,0.4153253230559964
3.5,0,0,1,10,6,60,0.7,4411,118.7576923076923,0.2777034686012394,-0.4222965313987606,-0.07415755507750119,0.3790523690773067
3.5,0,0,1,10,12,120,0.3,4029,108.47307692307692,0.27122114668652164,-0.028778853313478438,-0.00444541490224362,0.4631422189128816
3.5,0,0,1,10,12,120,0.5,4029,108.47307692307692,0.27122114668652164,-0.22877885331347836,-0.035339035671780185,0.43385455448001986
3.5,0,0,1,10,12,120,0.7,4029,108.47307692307692,0.27122114668652164,-0.4287788533134783,-0.06623265644131676,0.40555969223132293
3.5,0,0,1,10,30,300,0.3,3510,94.49999999999999,0.240997150997192,-0.059002849002808125,-0.007598840671717335,0.4720797720797721
3.5,0,0,1,10,30,300,0.5,3510,94.49999999999999,0.240997150997192,-0.25900284900280807,-0.03335637882502136,0.45213675213675214
3.5,0,0,1,10,30,300,0.7,3510,94.49999999999999,0.240997150997192,-0.45900284900280797,-0.05911391697832538,0.4324786324786325
3.5,1,10,0,0,1,10,0.3,705,18.98076923076923,1.2975886524822757,0.9975886524822759,0.13606051830764576,0.4
3.5,1,10,0,0,1,10,0.5,705,18.98076923076923,1.2975886524822757,0.7975886524822757,0.1087826381976245,0.3333333333333333
3.5,1,10,0,0,1,10,0.7,705,18.98076923076923,1.2975886524822757,0.5975886524822758,0.08150475808760328,0.3120567375886525
3.5,1,10,0,0,2,20,0.3,705,18.98076923076923,1.7034751773049908,1.4034751773049905,0.14440090889980933,0.43829787234042555
